dados_little;specialization;World Size
0,283084972;Specialist;Smaller World
0,670499436;Specialist;Smaller World
0,357216796;Specialist;Smaller World
0,552983822;Specialist;Smaller World
0,218234795;Specialist;Smaller World
0,146485752;Specialist;Smaller World
0,682495739;Specialist;Smaller World
0,262962959;Specialist;Smaller World
0,373772794;Specialist;Smaller World
0,309396548;Specialist;Smaller World
0,249417939;Specialist;Smaller World
0,689631933;Specialist;Smaller World
0,500402424;Specialist;Smaller World
0,331721379;Specialist;Smaller World
0,285977528;Specialist;Smaller World
0,314492201;Specialist;Smaller World
0,167381252;Specialist;Smaller World
0,020895973;Specialist;Smaller World
0,535822505;Specialist;Smaller World
0,014377696;Specialist;Smaller World
0,592003398;Specialist;Smaller World
0,462298882;Specialist;Smaller World
0,624281803;Specialist;Smaller World
0,646031456;Specialist;Smaller World
0,59763606;Specialist;Smaller World
0,311520672;Specialist;Smaller World
0,435467947;Specialist;Smaller World
0,465112636;Specialist;Smaller World
0;Specialist;Smaller World
0,391145141;Specialist;Smaller World
0,684961239;Specialist;Smaller World
0,692201703;Specialist;Smaller World
0;Specialist;Smaller World
0,465319829;Specialist;Smaller World
0,345820877;Specialist;Smaller World
0,673226182;Specialist;Smaller World
0,408492939;Specialist;Smaller World
0;Specialist;Smaller World
0,359265428;Specialist;Smaller World
0,357746931;Specialist;Smaller World
0,117070653;Specialist;Smaller World
0;Specialist;Smaller World
0,584785014;Specialist;Smaller World
0,18081639;Specialist;Smaller World
0,134222964;Specialist;Smaller World
0;Specialist;Smaller World
0,553214977;Specialist;Smaller World
0,502000905;Specialist;Smaller World
0,688605152;Specialist;Smaller World
0;Specialist;Smaller World
0,486489728;Specialist;Smaller World
0,68046243;Specialist;Smaller World
0,640995025;Specialist;Smaller World
0,659240181;Specialist;Smaller World
0,689536152;Specialist;Smaller World
0,363619196;Specialist;Smaller World
0;Specialist;Smaller World
0,103841327;Specialist;Smaller World
0,136863993;Specialist;Smaller World
0,488062205;Specialist;Smaller World
0,4981492;Specialist;Smaller World
0,658310881;Specialist;Smaller World
0,477478081;Specialist;Smaller World
0,551437085;Specialist;Smaller World
0,52532132;Specialist;Smaller World
0;Specialist;Smaller World
0,269917452;Specialist;Smaller World
0,6362213;Specialist;Smaller World
0,387005597;Specialist;Smaller World
0,680935112;Specialist;Smaller World
0,665077804;Specialist;Smaller World
0,389762013;Specialist;Smaller World
0,598720369;Specialist;Smaller World
0,670510191;Specialist;Smaller World
0,253638947;Specialist;Smaller World
0;Specialist;Smaller World
0,278769372;Specialist;Smaller World
0;Specialist;Smaller World
0,680197585;Specialist;Smaller World
0,660202564;Specialist;Smaller World
0,601593175;Specialist;Smaller World
0,684465518;Specialist;Smaller World
0,388932279;Specialist;Smaller World
0,16556071;Specialist;Smaller World
0,410116318;Specialist;Smaller World
0,249996072;Specialist;Smaller World
0,670591017;Specialist;Smaller World
