sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,8;0,9;30;40;25;10;5;10;0
2;3;0,8;0,9;30;50;25;5;5;10;0
2;3;0,8;0,9;30;50;25;10;5;10;0
2;3;0,8;0,9;30;40;25;5;5;9,99;0,1
2;3;0,8;0,9;40;40;25;5;5;9,99;0,1
2;3;0,8;0,9;40;50;25;5;5;9,99;0,1
2;3;0,8;0,9;30;50;25;15;5;9,93;0,2564324
2;3;0,8;0,9;40;50;15;10;5;9,86;0,402517331
2;3;0,8;0,9;40;50;25;10;10;9,85;0,358870281
2;3;0,8;0,9;40;50;25;10;5;9,81;0,394277244
2;3;0,8;0,9;40;50;25;15;5;9,76;0,51483056
2;3;0,8;0,9;30;40;25;15;5;9,75;0,43519414
2;3;0,8;0,9;40;30;25;5;5;9,72;0,514045158
2;3;0,8;0,9;40;40;15;5;5;9,68;0,839432228
2;3;0,8;0,9;40;40;25;10;5;9,63;0,485236587
2;3;0,8;0,9;40;50;15;5;5;9,58;0,955367611
2;3;0,8;0,9;30;50;15;15;5;9,56;0,556322703
2;3;0,8;0,9;40;50;25;15;10;9,53;0,501613558
2;3;0,8;0,9;30;30;25;10;5;9,52;0,502116732
2;3;0,8;0,9;30;30;25;15;5;9,5;0,522232968
2;3;0,8;0,9;40;50;15;15;5;9,4;0,816496581
2;3;0,8;0,9;30;50;15;10;5;9,34;0,606696636
2;3;0,8;0,9;40;40;15;10;5;9,33;0,603943271
2;3;0,8;0,9;40;30;25;10;5;9,26;0,440844002
2;3;0,8;0,9;40;50;15;15;10;9,25;0,43519414
2;3;0,8;0,9;40;30;15;5;5;9,22;1,087857685
2;3;0,8;0,9;40;40;25;15;5;9,17;0,603943271
2;3;0,8;0,9;40;40;15;15;5;9,13;0,613896316
2;3;0,8;0,9;30;50;15;5;5;9,1;0,926599082
2;3;0,8;0,9;40;40;25;15;10;9,08;0,272659924
2;3;0,8;0,9;40;30;25;15;5;9,02;0,283556062
2;3;0,8;0,9;40;50;15;10;10;9;0,246182982
2;3;0,8;0,9;30;40;15;15;5;8,98;0,531436019
2;3;0,8;0,9;40;50;25;5;10;8,97;0,3
2;3;0,8;0,9;40;30;15;10;5;8,96;0,634369169
2;3;0,8;0,9;40;50;10;10;5;8,95;1,131504764
2;3;0,8;0,9;40;40;25;10;10;8,93;0,29318867
2;3;0,8;0,9;30;40;15;10;5;8,88;0,573488351
2;3;0,8;0,9;30;40;15;5;5;8,86;0,5128648
2;3;0,8;0,9;40;30;15;15;5;8,83;0,513553672
2;3;0,8;0,9;30;30;25;5;5;8,72;0,636911741
2;3;0,8;0,9;40;40;10;10;5;8,72;1,172754678
2;3;0,8;0,9;40;40;10;15;5;8,61;1,153781661
2;3;0,8;0,9;40;40;15;15;10;8,6;0,492365964
2;3;0,8;0,9;40;50;10;5;5;8,52;1,105358848
2;3;0,8;0,9;40;50;15;5;10;8,4;0,816496581
2;3;0,8;0,9;30;50;10;5;5;8,38;0,82608973
2;3;0,8;0,9;40;50;10;15;5;8,25;1,373449539
2;3;0,8;0,9;40;50;10;15;10;8,22;0,439926532
2;3;0,8;0,9;40;40;10;5;5;8,21;0,902241877
2;3;0,8;0,9;40;40;15;10;10;8,19;0,486068541
