ticks;sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;model-version;replicate-number;Richness;Shannon;Evenness;AbRelPgre;AbRelPvio;AbRelPgray;AbRelPsky;AbRelSone;AbRelSthree;AbRelSfou;AbRelWone;AbRelWtwo;AbRelWfour;abto-patchesgreen;abto-patchesviolet;abto-patchesgray;ab-to-patchessky;abto-sheepone;abu-to-sheepthree;ab-to-sheepfour;ab-to-wolvesone;abto-wolvestwo;abto-wolvesfour;abundance-total
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;1;10;2,128514941;0,924402294;0,157174994;0,121329623;0,141812692;0,103688136;0,14530547;0,110052096;0,093357803;0,006127161;0,109519299;0,011632726;5310;4099;4791;3503;4909;3718;3154;207;3700;393;33784
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;1;9;1,967957631;0,895656116;0,166549147;0,141305881;0,181638697;0,101819207;0,0846143;0,05076858;0,227471443;0,003384572;0,042448174;0;1181;1002;1288;722;600;360;1613;24;301;0;7091
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;2;10;2,149191793;0,933382136;0,16460477;0,122791887;0,121453637;0,124011182;0,132575983;0,108933563;0,094926545;0,006334384;0,103937429;0,020430619;5535;4129;4084;4170;4458;3663;3192;213;3495;687;33626
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;2;8;1,866529598;0,897610998;0,143225437;0,217702664;0,173446004;0,093955887;0,044686336;0,049126325;0,251360642;0;0,026496706;0;1000;1520;1211;656;312;343;1755;0;185;0;6982
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;3;10;2,172534929;0,943519931;0,152413897;0,115355693;0,11349075;0,153647165;0,123838171;0,106000902;0,102210859;0,011580689;0,094299895;0,027161979;5067;3835;3773;5108;4117;3524;3398;385;3135;903;33245
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;3;9;1,94627163;0,885786392;0,158937719;0,110272311;0,13507684;0,22499326;0,089377191;0,035184686;0,210299272;0,021973578;0,013885144;0;1179;818;1002;1669;663;261;1560;163;103;0;7418
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;4;10;2,154935265;0,935876494;0,144317945;0,097470349;0,156802711;0,129425404;0,143188371;0,104009988;0,100383461;0,007253054;0,091079338;0,02606938;4855;3279;5275;4354;4817;3499;3377;244;3064;877;33641
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;4;8;1,7767281;0,854425606;0,18811432;0,132012702;0,140329654;0,149251474;0,032511719;0,051716316;0,304702858;0;0,001360956;0;1244;873;928;987;215;342;2015;0;9;0;6613
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;5;10;2,145170357;0,931635649;0,16315881;0,125297153;0,121093524;0,122601032;0,162173132;0,089725749;0,095813765;0,007073694;0,088943005;0,024120137;5628;4322;4177;4229;5594;3095;3305;244;3068;832;34494
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;5;9;2,022198351;0,920342132;0,172905526;0,107363225;0,159605101;0,114219114;0,093102975;0,076648841;0,208144796;0,002605238;0,065405183;0;1261;783;1164;833;679;559;1518;19;477;0;7293
