ticks;sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;model-version;replicate-number;Richness;Shannon;Evenness;AbRelPgre;AbRelPvio;AbRelPgray;AbRelPsky;AbRelSone;AbRelSthree;AbRelSfou;AbRelWone;AbRelWtwo;AbRelWfour;abto-patchesgreen;abto-patchesviolet;abto-patchesgray;ab-to-patchessky;abto-sheepone;abu-to-sheepthree;ab-to-sheepfour;ab-to-wolvesone;abto-wolvestwo;abto-wolvesfour;abundance-total
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;1;10;2,165666513;0,940537016;0,071033938;0,169692186;0,142067877;0,110497238;0,037490134;0,099052881;0,103788477;0,135359116;0,122336227;0,008681926;180;430;360;280;95;251;263;343;310;22;2534
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;1;5;1,498252204;0,930916435;0,083857442;0,322851153;0,20754717;0,111111111;0;0;0,274633124;0;0;0;40;154;99;53;0;0;131;0;0;0;477
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;2;9;1,786039964;0,812861818;0,289308176;0;0,035516093;0,059563448;0,324824269;0,078061413;0,110617832;0,033296337;0,054384018;0,014428413;782;0;96;161;878;211;299;90;147;39;2703
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;2;4;1,384080152;0,998402786;0,222222222;0;0,265107212;0,255360624;0;0;0,257309942;0;0;0;114;0;136;131;0;0;132;0;0;0;513
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;3;8;1,61787521;0,778033514;0,484183104;0,039077038;0,097506513;0,066244883;0;0,049869743;0,052847041;0,171566803;0,038704875;0;1301;105;262;178;0;134;142;461;104;0;2687
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;3;5;1,107294321;0,688000644;0,622823985;0,042553191;0,050290135;0,081237911;0;0;0,203094778;0;0;0;322;22;26;42;0;0;105;0;0;0;517
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;4;9;1,368127569;0,62266169;0,402803738;0,011682243;0,011214953;0,014953271;0;0,002803738;0,343925234;0,170560748;0,035514019;0,006542056;862;25;24;32;0;6;736;365;76;14;2140
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;4;4;0,804703344;0,580470762;0,714028777;0,064748201;0;0,014388489;0;0;0,206834532;0;0;0;397;36;0;8;0;0;115;0;0;0;556
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;5;7;1,565362542;0,804437216;0,075704225;0,059859155;0,088028169;0,254929577;0;0;0,124295775;0,395070423;0,002112676;0;215;170;250;724;0;0;353;1122;6;0;2840
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;5;4;1,260682141;0,909389936;0,102912621;0;0,157281553;0,370873786;0;0;0,368932039;0;0;0;53;0;81;191;0;0;190;0;0;0;515
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;6;8;1,481234592;0,712323267;0,463076295;0,010607915;0,028559772;0,088535292;0;0,002039984;0,167278662;0,201142391;0,03875969;0;1135;26;70;217;0;5;410;493;95;0;2451
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;6;4;1,0985859;0,792462215;0,564150943;0;0,1;0,075471698;0;0;0,260377358;0;0;0;299;0;53;40;0;0;138;0;0;0;530
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;7;9;1,860936209;0,846948568;0,322522523;0,059009009;0,147297297;0,077477477;0,005405405;0,061711712;0,168918919;0;0,139189189;0,018468468;716;131;327;172;12;137;375;0;309;41;2220
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;7;4;1,309835642;0,944846693;0,098790323;0;0,318548387;0,314516129;0;0;0,268145161;0;0;0;49;0;158;156;0;0;133;0;0;0;496
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;8;9;1,338918011;0,609367848;0,387254902;0,018137255;0,026960784;0,01127451;0;0,000490196;0,409313725;0,04754902;0,09754902;0,001470588;790;37;55;23;0;1;835;97;199;3;2040
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;8;3;0,98144976;0,893354071;0,558608059;0;0,269230769;0;0;0;0,172161172;0;0;0;305;0;147;0;0;0;94;0;0;0;546
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;9;7;1,46938288;0,755113426;0,511057499;0,080418175;0,047446723;0,057901086;0;0;0,112585444;0,175713711;0,014877362;0;1271;200;118;144;0;0;280;437;37;0;2487
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;9;5;1,418681906;0,881476629;0,313799622;0,321361059;0,145557656;0,024574669;0;0;0,194706994;0;0;0;166;170;77;13;0;0;103;0;0;0;529
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;10;9;1,747749269;0,795434972;0,316179337;0,195711501;0,03625731;0,055360624;0;0,009746589;0,123976608;0,214814815;0,047173489;0,000779727;811;502;93;142;0;25;318;551;121;2;2565
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;10;5;1,460890983;0,907702603;0,236472946;0,298597194;0,200400802;0,026052104;0;0;0,238476954;0;0;0;118;149;100;13;0;0;119;0;0;0;499
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;11;9;2,001910623;0,911108789;0,168070953;0,220399113;0,098891353;0,097117517;0;0,189356984;0,057206208;0,00443459;0,086031042;0,078492239;379;497;223;219;0;427;129;10;194;177;2255
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;11;5;1,315032457;0,817075606;0,344294004;0,058027079;0,015473888;0,299806576;0;0;0,282398453;0;0;0;178;30;8;155;0;0;146;0;0;0;517
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;12;8;1,661637558;0,799078755;0,394450694;0,015748031;0,121484814;0,053993251;0;0,001124859;0,104986877;0,181852268;0,126359205;0;1052;42;324;144;0;3;280;485;337;0;2667
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;12;4;1,301576348;0,938888872;0,389396709;0;0,294332724;0,120658135;0;0;0,195612431;0;0;0;213;0;161;66;0;0;107;0;0;0;547
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;13;10;2,142217347;0,930353173;0,128697657;0,029581252;0,171340761;0,156358048;0,108720707;0,067230119;0,100653093;0,089896274;0,14022282;0,00729927;335;77;446;407;283;175;262;234;365;19;2603
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;13;5;1,530281333;0,950817252;0,153518124;0,12793177;0,206823028;0,151385928;0;0;0,360341151;0;0;0;72;60;97;71;0;0;169;0;0;0;469
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;14;10;1,821893092;0,791238117;0,034545455;0,166818182;0,185454545;0,05;0,000454545;0,324090909;0,040454545;0,009090909;0,033636364;0,155454545;76;367;408;110;1;713;89;20;74;342;2200
999;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;14;4;1,375313359;0,992078881;0,292887029;0,280334728;0,217573222;0;0;0;0,209205021;0;0;0;140;134;104;0;0;0;100;0;0;0;478
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;15;10;2,010642715;0,873211036;0,01035444;0,09916368;0,144563919;0,282357626;0,092791716;0,1043409;0,095181203;0,108323377;0,06252489;0,000398248;26;249;363;709;233;262;239;272;157;1;2511
949;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;15;4;0,938912026;0,677281862;0,516746411;0,001594896;0,092503987;0,389154705;0;0;0;0;0;0;324;1;58;244;0;0;0;0;0;0;627
500;0;0;0;0;30;40;15;5;10;HighPerturbationHighfractality;16;9;1,803243115;0,820691309;0,076891106;0,23524522;0,261845387;0,057356608;0;0,001246883;0,133832086;0,040315877;0,187448047;0,005818786;185;566;630;138;0;3;322;97;451;14;2406
