sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,2;0,3;20;40;25;5;5;10;0
2;3;0,2;0,3;20;50;25;5;5;10;0
2;3;0,2;0,3;30;40;15;5;10;10;0
2;3;0,2;0,3;30;40;15;10;10;10;0
2;3;0,2;0,3;30;40;25;5;10;10;0
2;3;0,2;0,3;30;50;25;5;10;10;0
2;3;0,2;0,3;40;40;15;5;15;10;0
2;3;0,2;0,3;20;40;15;5;5;9,99;0,1
2;3;0,2;0,3;30;30;15;10;10;9,99;0,1
2;3;0,2;0,3;30;50;15;10;10;9,99;0,1
2;3;0,2;0,3;40;40;15;5;10;9,99;0,1
2;3;0,2;0,3;40;50;15;10;10;9,99;0,1
2;3;0,2;0,3;40;50;15;10;15;9,99;0,1
2;3;0,2;0,3;30;50;15;5;10;9,98;0,2
2;3;0,2;0,3;40;30;15;10;15;9,98;0,140705294
2;3;0,2;0,3;40;40;15;10;15;9,98;0,140705294
2;3;0,2;0,3;40;50;10;5;15;9,98;0,2
2;3;0,2;0,3;40;50;15;5;10;9,98;0,140705294
2;3;0,2;0,3;40;50;15;5;15;9,98;0,2
2;3;0,2;0,3;20;30;15;10;5;9,97;0,171446608
2;3;0,2;0,3;20;30;25;5;5;9,97;0,171446608
2;3;0,2;0,3;30;50;15;10;15;9,97;0,171446608
2;3;0,2;0,3;40;50;10;10;15;9,97;0,171446608
2;3;0,2;0,3;40;50;25;5;15;9,97;0,171446608
2;3;0,2;0,3;30;50;10;10;10;9,96;0,196946386
2;3;0,2;0,3;40;50;10;5;10;9,96;0,315268044
2;3;0,2;0,3;30;50;25;10;15;9,95;0,219042914
2;3;0,2;0,3;20;40;15;10;5;9,94;0,238683257
2;3;0,2;0,3;40;30;15;5;10;9,94;0,312047652
2;3;0,2;0,3;40;50;15;15;10;9,94;0,277797979
2;3;0,2;0,3;20;50;15;10;5;9,93;0,2564324
2;3;0,2;0,3;20;30;25;10;5;9,92;0,272659924
2;3;0,2;0,3;20;50;15;5;5;9,91;0,473435755
2;3;0,2;0,3;30;50;15;15;10;9,91;0,287623491
2;3;0,2;0,3;40;50;15;15;15;9,91;0,287623491
2;3;0,2;0,3;40;50;10;10;10;9,9;0,301511345
2;3;0,2;0,3;40;50;25;5;10;9,9;0,301511345
2;3;0,2;0,3;20;50;25;10;5;9,89;0,314466038
2;3;0,2;0,3;20;50;25;10;10;9,89;0,314466038
2;3;0,2;0,3;30;30;15;15;10;9,89;0,314466038
2;3;0,2;0,3;40;40;10;10;10;9,88;0,383497988
2;3;0,2;0,3;30;30;25;5;10;9,87;0,337997669
2;3;0,2;0,3;40;40;10;10;15;9,87;0,366666667
2;3;0,2;0,3;40;40;15;10;10;9,87;0,337997669
2;3;0,2;0,3;20;40;25;10;5;9,86;0,348735088
2;3;0,2;0,3;30;40;15;15;10;9,85;0,358870281
2;3;0,2;0,3;40;30;15;15;15;9,85;0,358870281
2;3;0,2;0,3;40;40;25;5;15;9,85;0,358870281
2;3;0,2;0,3;20;50;15;15;5;9,84;0,368452949
2;3;0,2;0,3;30;50;25;10;10;9,84;0,368452949
2;3;0,2;0,3;40;30;15;10;10;9,84;0,368452949
2;3;0,2;0,3;30;50;10;5;10;9,83;0,551490176
2;3;0,2;0,3;40;40;10;5;10;9,83;0,586979944
2;3;0,2;0,3;20;30;15;5;5;9,82;0,519906752
2;3;0,2;0,3;20;50;25;15;10;9,81;0,394277244
2;3;0,2;0,3;30;40;10;10;10;9,8;0,402015126
2;3;0,2;0,3;40;40;15;15;10;9,8;0,426401433
2;3;0,2;0,3;30;50;25;15;5;9,79;0,591095542
2;3;0,2;0,3;30;30;15;5;5;9,77;0,600588937
2;3;0,2;0,3;30;50;15;15;15;9,77;0,422952585
2;3;0,2;0,3;40;40;15;15;15;9,77;0,422952585
2;3;0,2;0,3;40;40;25;5;10;9,76;0,429234696
2;3;0,2;0,3;20;40;15;15;5;9,75;0,43519414
2;3;0,2;0,3;40;40;10;5;15;9,75;0,5198096
2;3;0,2;0,3;30;30;15;5;10;9,73;0,446196043
2;3;0,2;0,3;30;40;25;10;10;9,73;0,446196043
2;3;0,2;0,3;20;50;10;10;5;9,72;0,587409997
