dados_little;typeanimal;WorldSize
0,854870919;Herbivore;Smaller World
107,144,138,395,145;Herbivore;Smaller World
0,922228698;Herbivore;Smaller World
0,901441418;Herbivore;Smaller World
0,725821889;Herbivore;Smaller World
0,669963716;Herbivore;Smaller World
103,108,447,334,087;Herbivore;Smaller World
0,857147808;Herbivore;Smaller World
0,670844397;Herbivore;Smaller World
0,993550443;Herbivore;Smaller World
0,31173541;Herbivore;Smaller World
107,702,508,095,868;Herbivore;Smaller World
0,834040441;Herbivore;Smaller World
0,862347221;Herbivore;Smaller World
0,983721126;Herbivore;Smaller World
104,465,166,278,011;Herbivore;Smaller World
105,767,124,912,894;Herbivore;Smaller World
0,022467831;Herbivore;Smaller World
109,846,791,299,744;Herbivore;Smaller World
0,701087184;Herbivore;Smaller World
0,988656163;Herbivore;Smaller World
0,959645573;Herbivore;Smaller World
108,060,508,480,779;Herbivore;Smaller World
0,849385586;Herbivore;Smaller World
103,055,657,456,591;Herbivore;Smaller World
0,85322797;Herbivore;Smaller World
106,333,236,307,136;Herbivore;Smaller World
0,980750205;Herbivore;Smaller World
0;Herbivore;Smaller World
0,886991323;Herbivore;Smaller World
0,884873557;Herbivore;Smaller World
0,871408951;Herbivore;Smaller World
0;Herbivore;Smaller World
0,772314341;Herbivore;Smaller World
0,935994474;Herbivore;Smaller World
102,768,295,157,531;Herbivore;Smaller World
0,821936338;Herbivore;Smaller World
0;Herbivore;Smaller World
104,866,542,967,495;Herbivore;Smaller World
0,759348131;Herbivore;Smaller World
101,955,061,242,571;Herbivore;Smaller World
0;Herbivore;Smaller World
0,376916305;Herbivore;Smaller World
0,789984647;Herbivore;Smaller World
0,753062115;Herbivore;Smaller World
0;Herbivore;Smaller World
0,879603907;Herbivore;Smaller World
0,955479498;Herbivore;Smaller World
0,926841126;Herbivore;Smaller World
0;Herbivore;Smaller World
0,878823816;Herbivore;Smaller World
10,262,951,543,183;Herbivore;Smaller World
0,930778029;Herbivore;Smaller World
0,889191397;Herbivore;Smaller World
0,874780102;Herbivore;Smaller World
0,675206057;Herbivore;Smaller World
0;Herbivore;Smaller World
0,614585652;Herbivore;Smaller World
108,566,845,884,917;Herbivore;Smaller World
0,857003941;Herbivore;Smaller World
106,695,481,540,052;Herbivore;Smaller World
100,308,368,136,429;Herbivore;Smaller World
0,910836214;Herbivore;Smaller World
105,285,276,451,013;Herbivore;Smaller World
102,156,445,196,306;Herbivore;Smaller World
0;Herbivore;Smaller World
107,354,067,408,446;Herbivore;Smaller World
102,424,658,268,265;Herbivore;Smaller World
0,943428387;Herbivore;Smaller World
102,323,307,640,028;Herbivore;Smaller World
104,055,700,070,758;Herbivore;Smaller World
100,841,502,137,321;Herbivore;Smaller World
108,666,226,948,557;Herbivore;Smaller World
0,964425991;Herbivore;Smaller World
0,558291403;Herbivore;Smaller World
0,644781278;Herbivore;Smaller World
0,842552543;Herbivore;Smaller World
0,222252834;Herbivore;Smaller World
0,531837829;Herbivore;Smaller World
109,235,112,245,656;Herbivore;Smaller World
104,442,278,253,796;Herbivore;Smaller World
107,014,809,640,748;Herbivore;Smaller World
0,998517142;Herbivore;Smaller World
0,978390123;Herbivore;Smaller World
0,994852368;Herbivore;Smaller World
0,920185638;Herbivore;Smaller World
0,911427978;Herbivore;Smaller World
0,901010997;Herbivore;Smaller World
108,287,277,599,586;Herbivore;Smaller World
0,617993206;Herbivore;Smaller World
0,937675523;Herbivore;Smaller World
109,444,261,355,749;Herbivore;Smaller World
104,143,698,275,302;Herbivore;Smaller World
0,588018189;Herbivore;Smaller World
0;Herbivore;Smaller World
103,502,397,034,404;Herbivore;Smaller World
0,689547126;Herbivore;Smaller World
0,932799984;Herbivore;Smaller World
109,602,556,901,033;Herbivore;Smaller World
0,734872922;Herbivore;Smaller World
0,854870919;Herbivore;Smaller World
107,144,138,395,145;Herbivore;Smaller World
0,922228698;Herbivore;Smaller World
0,901441418;Herbivore;Smaller World
0,725821889;Herbivore;Smaller World
0,669963716;Herbivore;Smaller World
103,108,447,334,087;Herbivore;Smaller World
0,857147808;Herbivore;Smaller World
0,670844397;Herbivore;Smaller World
0,993550443;Herbivore;Smaller World
0,910004998;Herbivore;Smaller World
107,702,508,095,868;Herbivore;Smaller World
0,834040441;Herbivore;Smaller World
0,641777185;Herbivore;Smaller World
0,983721126;Herbivore;Smaller World
104,465,166,278,011;Herbivore;Smaller World
105,767,124,912,894;Herbivore;Smaller World
0,022467831;Herbivore;Smaller World
109,846,791,299,744;Herbivore;Smaller World
0,701087184;Herbivore;Smaller World
0,988656163;Herbivore;Smaller World
0,959645573;Herbivore;Smaller World
108,060,508,480,779;Herbivore;Smaller World
0,849385586;Herbivore;Smaller World
103,055,657,456,591;Herbivore;Smaller World
0,85322797;Herbivore;Smaller World
106,333,236,307,136;Herbivore;Smaller World
0,980750205;Herbivore;Smaller World
0;Herbivore;Smaller World
0,886991323;Herbivore;Smaller World
0,884873557;Herbivore;Smaller World
0,871408951;Herbivore;Smaller World
0;Herbivore;Smaller World
0,772314341;Herbivore;Smaller World
0,935994474;Herbivore;Smaller World
102,768,295,157,531;Herbivore;Smaller World
0,821936338;Herbivore;Smaller World
0;Herbivore;Smaller World
104,866,542,967,495;Herbivore;Smaller World
0,759348131;Herbivore;Smaller World
101,955,061,242,571;Herbivore;Smaller World
0;Herbivore;Smaller World
104,535,608,543,143;Herbivore;Smaller World
0,789984647;Herbivore;Smaller World
0,156757394;Herbivore;Smaller World
0;Herbivore;Smaller World
0,879603907;Herbivore;Smaller World
0,955479498;Herbivore;Smaller World
0,926841126;Herbivore;Smaller World
0;Herbivore;Smaller World
0,878823816;Herbivore;Smaller World
10,262,951,543,183;Herbivore;Smaller World
0,930778029;Herbivore;Smaller World
0,889191397;Herbivore;Smaller World
0,874780102;Herbivore;Smaller World
0,675206057;Herbivore;Smaller World
0;Herbivore;Smaller World
0,614585652;Herbivore;Smaller World
108,566,845,884,917;Herbivore;Smaller World
0,857003941;Herbivore;Smaller World
106,695,481,540,052;Herbivore;Smaller World
100,308,368,136,429;Herbivore;Smaller World
0,910836214;Herbivore;Smaller World
105,285,276,451,013;Herbivore;Smaller World
102,156,445,196,306;Herbivore;Smaller World
